athlete_certification_key,person_key,club_key,certification_type_key,person_type_key,has_certificate
103,269,379,1,1,1
104,270,379,1,1,1
105,274,379,1,1,1
106,276,379,1,1,1
107,279,379,1,1,1
108,281,385,1,1,1
109,287,385,1,1,1
110,288,385,1,1,1
111,294,385,1,1,1
112,307,385,1,1,1
113,308,385,1,1,1
114,309,385,1,1,1
115,311,385,1,1,1
116,315,385,1,1,1
117,317,168,1,1,1
118,319,168,1,1,1
119,320,168,1,1,1
120,321,168,1,1,1
121,334,167,1,1,1
122,345,167,1,1,1
123,355,167,1,1,1
124,356,394,1,1,1
125,357,394,1,1,1
126,361,394,1,1,1
127,362,394,1,1,1
128,363,394,1,1,1
129,364,394,1,1,1
130,365,394,1,1,1
131,367,394,1,1,1
132,371,394,1,1,1
133,373,394,1,1,1
134,377,394,1,1,1
135,378,394,1,1,1
136,379,394,1,1,1
137,381,394,1,1,1
138,382,394,1,1,1
139,384,394,1,1,1
140,385,394,1,1,1
141,386,59,1,1,1
142,387,59,1,1,1
143,388,59,1,1,1
144,389,59,1,1,1
145,391,59,1,1,1
146,392,59,1,1,1
147,393,59,1,1,1
148,396,59,1,1,1
149,397,59,1,1,1
150,398,59,1,1,1
151,399,59,1,1,1
152,400,59,1,1,1
153,402,59,1,1,1
154,403,59,1,1,1
155,405,59,1,1,1
156,407,59,1,1,1
157,409,59,1,1,1
158,411,59,1,1,1
159,412,59,1,1,1
160,414,59,1,1,1
161,416,59,1,1,1
162,417,59,1,1,1
163,418,59,1,1,1
164,419,59,1,1,1
165,420,59,1,1,1
166,422,59,1,1,1
167,423,59,1,1,1
168,424,59,1,1,1
169,425,59,1,1,1
170,426,59,1,1,1
171,427,59,1,1,1
172,429,59,1,1,1
173,430,59,1,1,1
174,432,59,1,1,1
175,434,171,1,1,1
176,443,171,1,1,1
177,450,171,1,1,1
178,454,256,1,1,1
179,458,256,1,1,1
180,459,256,1,1,1
181,461,256,1,1,1
182,462,256,1,1,1
183,465,256,1,1,1
184,466,256,1,1,1
185,467,256,1,1,1
186,468,256,1,1,1
187,472,256,1,1,1
188,473,256,1,1,1
189,474,256,1,1,1
190,479,256,1,1,1
191,482,256,1,1,1
192,483,256,1,1,1
193,484,256,1,1,1
194,485,256,1,1,1
195,486,256,1,1,1
196,488,256,1,1,1
197,490,256,1,1,1
198,493,256,1,1,1
199,494,256,1,1,1
200,495,256,1,1,1
201,504,256,1,1,1
202,505,256,1,1,1
203,511,291,1,1,1
204,513,291,1,1,1
205,515,291,1,1,1
206,516,291,1,1,1
207,517,291,1,1,1
208,518,291,1,1,1
209,519,291,1,1,1
210,520,291,1,1,1
211,521,291,1,1,1
212,522,291,1,1,1
213,523,291,1,1,1
214,525,291,1,1,1
215,526,291,1,1,1
216,527,291,1,1,1
217,530,291,1,1,1
218,534,291,1,1,1
219,535,291,1,1,1
220,538,291,1,1,1
221,540,291,1,1,1
222,541,291,1,1,1
223,542,291,1,1,1
224,543,291,1,1,1
225,546,291,1,1,1
226,547,291,1,1,1
227,548,291,1,1,1
228,549,291,1,1,1
229,551,291,1,1,1
230,552,291,1,1,1
231,554,291,1,1,1
232,556,291,1,1,1
233,557,291,1,1,1
234,558,291,1,1,1
235,559,291,1,1,1
236,560,291,1,1,1
237,561,291,1,1,1
238,564,291,1,1,1
239,565,291,1,1,1
240,566,291,1,1,1
241,567,291,1,1,1
242,568,291,1,1,1
243,569,291,1,1,1
244,570,291,1,1,1
245,572,291,1,1,1
246,573,405,1,1,1
247,574,405,1,1,1
248,576,405,1,1,1
249,577,405,1,1,1
250,578,405,1,1,1
251,580,405,1,1,1
252,582,405,1,1,1
253,583,405,1,1,1
254,584,405,1,1,1
255,585,405,1,1,1
256,588,322,1,1,1
257,590,322,1,1,1
258,591,322,1,1,1
259,592,322,1,1,1
260,593,322,1,1,1
261,594,322,1,1,1
262,595,322,1,1,1
263,596,322,1,1,1
264,597,322,1,1,1
265,600,322,1,1,1
266,602,322,1,1,1
267,603,322,1,1,1
268,604,322,1,1,1
269,605,322,1,1,1
270,607,322,1,1,1
271,609,322,1,1,1
272,610,322,1,1,1
273,612,322,1,1,1
274,613,322,1,1,1
275,614,322,1,1,1
276,616,322,1,1,1
277,617,322,1,1,1
278,619,54,1,1,1
279,620,54,1,1,1
280,621,54,1,1,1
281,622,54,1,1,1
282,623,54,1,1,1
283,624,54,1,1,1
284,625,54,1,1,1
285,626,54,1,1,1
286,628,54,1,1,1
287,630,54,1,1,1
288,633,54,1,1,1
289,634,54,1,1,1
290,636,225,1,1,1
291,637,225,1,1,1
292,638,225,1,1,1
293,639,225,1,1,1
294,642,225,1,1,1
295,646,225,1,1,1
296,647,225,1,1,1
297,649,225,1,1,1
298,650,225,1,1,1
299,653,225,1,1,1
300,654,225,1,1,1
301,655,225,1,1,1
302,656,225,1,1,1
303,657,225,1,1,1
304,659,225,1,1,1
305,661,225,1,1,1
306,662,225,1,1,1
307,664,225,1,1,1
308,665,225,1,1,1
309,669,225,1,1,1
310,670,225,1,1,1
311,674,225,1,1,1
312,675,225,1,1,1
313,677,225,1,1,1
314,678,225,1,1,1
315,681,225,1,1,1
316,683,225,1,1,1
317,684,225,1,1,1
318,688,225,1,1,1
319,690,225,1,1,1
320,691,225,1,1,1
321,693,225,1,1,1
322,695,225,1,1,1
323,696,225,1,1,1
324,697,225,1,1,1
325,699,225,1,1,1
326,700,225,1,1,1
327,701,225,1,1,1
328,703,225,1,1,1
329,704,225,1,1,1
330,706,125,1,1,1
331,707,125,1,1,1
332,711,125,1,1,1
333,712,125,1,1,1
334,713,125,1,1,1
335,714,125,1,1,1
336,715,125,1,1,1
337,716,166,1,1,1
338,719,166,1,1,1
339,726,81,1,1,1
340,728,81,1,1,1
341,731,81,1,1,1
342,733,81,1,1,1
343,734,81,1,1,1
344,736,81,1,1,1
345,738,181,1,1,1
346,739,181,1,1,1
